"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Thanks again, @unitedairlines for another delayed flight and missed connection. Great start to Christmas vacation. #unitedsucks",FALSE,0,NA,2017-12-17 20:32:37,FALSE,NA,"942492752520065024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","DonJack95524706",0,FALSE,FALSE,NA,NA
"2","@UnitedAirlines lost my bag yesterday and delivered the wrong one today. Now their call center cant get in touch with the airport to fix it",FALSE,0,"UnitedAirlines",2017-12-17 20:20:27,FALSE,NA,"942489691286392832","25166595","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cory_schmidt",0,FALSE,FALSE,NA,NA
"3","So upset with the lack of cleanliness of #UnitedAirlines. Barely a simple wipe of back of seat/carpet between fligh https://t.co/emEJ0WNVqY",FALSE,0,NA,2017-12-17 20:08:08,TRUE,NA,"942486590663864320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JanineHimes",0,FALSE,FALSE,NA,NA
"4","@staralliance #pardonmyexperience inspired by #unitedairlines https://t.co/YmS6FKqQY6",FALSE,0,"staralliance",2017-12-17 20:06:11,FALSE,NA,"942486101972963328","21401523","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","roydockery",0,FALSE,FALSE,NA,NA
"5","@FakeOscarMunoz #pardonmyexperience inspired by #unitedairlines https://t.co/YmS6FKqQY6",FALSE,0,"FakeOscarMunoz",2017-12-17 20:05:28,FALSE,NA,"942485921034915840","3594643215","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","roydockery",0,FALSE,FALSE,NA,NA
"6","Atlanta to Vancouver, Canada for only $275 roundtrip with United. #UnitedAirlines #Atlanta https://t.co/GxkI4SPvjh",FALSE,0,NA,2017-12-17 19:54:03,FALSE,NA,"942483048003702784",NA,"<a href=""https://milesreport.com/"" rel=""nofollow"">Miles Deals Canada</a>","MilesDealsCA",0,FALSE,FALSE,NA,NA
"7","RT @UnitedFlyerHD: United B757-200 (N12125) lining up on Houston IAH 33L 
#avgeek #boeing #boeing757 #boeinglovers #UnitedAirlines https://",FALSE,0,NA,2017-12-17 19:44:13,FALSE,NA,"942480574232621058",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DanielaSmits",8,TRUE,FALSE,NA,NA
"8","@UnitedAirlines My bad for not checking flight. Youre worse for not texting or emailing delay.",FALSE,0,"UnitedAirlines",2017-12-17 18:57:10,FALSE,NA,"942468733217382400","25166595","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ronik22",0,FALSE,FALSE,NA,NA
"9","Airline ticket shenanigans: United shows two different fares online and over the phone. Keep refreshing to get the https://t.co/Fb5CaI979e",FALSE,0,NA,2017-12-17 18:38:44,TRUE,NA,"942464091867754496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nonuniform",0,FALSE,FALSE,NA,NA
"10","RT @SBAirport: The @SBAirport is OPEN &amp; all airlines are back on schedule as of 9:00am this morning. Please contact @AlaskaAir, @AmericanAi",FALSE,0,NA,2017-12-17 18:13:58,FALSE,NA,"942457861937905664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RBjorkCA",4,TRUE,FALSE,NA,NA
